Time	Quote	Title of book	Author
15:29	'Good heavens!' she said, 'it's nearly half-past three. I must fly. Don't forget about the funeral service,' she added, as she put on her coat. 'The tapers, the black coffin in the middle of the aisle, the nuns in their white-winged coifs, the gloomy chanting, and the poor cowering creature without any teeth, her face all caved in like an old woman's, wondering whether she wasn't really and in fact dead - wondering whether she wasn't already in hell. Goodbye.'	Nuns at Luncheon	Aldous Huxley
15:30	I must have completed my packing with time to spare, for when the knock came on my door at half past three precisely, I had been sitting in my chair waiting for a good while. I opened the door to a young Chinese man, perhaps not even twenty, dressed in a gown, his hat in his hand.	When We Were Orphans	Kazuo Ishiguro
15:31	It was after half past three when the hotel manager came to see Hetty. She had made several applications to the front desk since Sean O'Donnell had left, but to no avail.	New York	Edward Rutherfurd
15:32	At 3:32 precisely, I noticed Kaitlyn striding confidently past the Wok House. She saw me the moment I raised my hand, flashed her very white and newly straightened teeth at me, and headed over.	The Fault in Our Stars	John Green
15:33	I picked up my briefcase, glancing at my watch again as I did so. Three thirty-three.	11/22/63	Stephen King
15:34	It was 15:34 now and the sleepiness felt like lead inside him.	Devil's Peak	Deon Meyer
15:35	By three-thirty-five business really winds down. I have already sold my ladderback chairs and my Scottish cardigans. I'm not even sure now why I've sold all these things, except perhaps so as not to be left out of this giant insult to one's life that is a yard sale, this general project of getting rid quick.	Anagrams	Lorrie Moore
15:36	Meanwhile a girl was standing in an airport concourse. A big clock suspended from the ceiling said it was twenty-four minutes to four.	The Intruders	Michael Marshall
15:37	The explosion was now officially designated an 'Act of God'. But, thought Dirk, what god? And why? What god would be hanging around Terminal Two of Heathrow Airport trying to catch the 15.37 flight to Oslo?	The Long Dark Tea Time of the Soul	Douglas Adams
15:38	Mendez took a marker and added to the line for the day Karly Vickers disappeared: 15:38 traffic ticket issued by F. Farman. He added to the line for Thursday: L. Warwick index finger in possession of D. Farman. Leone came over, tapped a finger on the line about the traffic citation, and raised his eyebrows.	Deeper than the Dead	Tami Hoag
15:39	I lived two lives in late 1965 and early 1963, one in Dallas and one in Jodie. They came together at three thirty-nine in the afternoon of April 10.	11/22/63	Stephen King
15:40	Why had nobody else arrived? Could he be too early? But no! They had said half past three and it was at least twenty to four. He hastened towards the gate.	Keep the Aspidistra Flying	George Orwell
15:41	At 15:41 GMT, the Cessna's engine began to cut out and the plane - presumably out of fuel - began to lose altitude	The Crow Road	Iain Banks
15:42	So that, who knows? At that sudden distance I might not have even stopped, being already in motion again, raising my hand and arm in return and on, across the alley, striding on as you would naturally expect a county attorney to be striding along a side street at forty-two minutes past three in the afternoon; one whole block more for safety and then safe, inviolate still the intactness, unthreatened again.	The Town	William Faulkner
15:43	He reached out a hand toward her, but she gave him such a terrible look that he pulled back and let her alone. At three forty-three, she set her jaw and kept going.	Doll Bones	Holly Black
15:44	The armed response team hastily assembled from Strängnäs arrived at Bjurman's summer cabin at 3.44 p.m.	The Girl Who Played With Fire	Stieg Larsson
15:45	I opened my notebook, flipped almost to the end before I found a blank page, and wrote 'October 5th, 3.45pm, Dunning to Longview Cem, puts flowers on parents' (?) graves. Rain.' I had what I wanted.	11/22/63	Stephen King
15:46	I authorize you to leave this room at fourteen minutes to four.... Not a moment before fourteen minutes to four.... Is it understood?'	The Blonde Lady	Maurice Leblanc
15:47	'I said now, Mr. Maryk. Now, according to my watch, is not the morning, but forty-seven minutes past three. If you get no results by eight o'clock this morning I shall solve the mystery myself-noting duly for future fitness reports the failure of the board to carry out its assignment.'	The Caine Mutiny	Herman Wouk
15:48	At 15:48 the satellite passed out of the 'area of interest' determined by the Madrid computer.	Doomsday Ultimatum	James Follett
15:49	Anthony picked up the note and placed it beside his lordship. Then he left the room and returned to his work. Lord Pomfret was exceedingly wrath. In fact, he brooded over the incident. This augured ill for Anthony. The cold fact that in due season—to be precise, at eleven minutes to four that same afternoon—Slip Along won his race easily did not improve matters.	Anthony Lyveden	Dornford Yates
15:50	When I arrived at the tearoom, I did a quick circuit, looking for the red hat. There were no women with red hats. My watch showed ten minutes to four.	The Wind-Up Bird Chronicle	Haruki Murakami
15:51	The telegram seems to say, 'The Sovereigns and the Royal Children expect themselves at Rome tomorrow at fifty-one minutes after fifteen o'clock.'	Italian Without a Master	Mark Twain
15:52	He came to a curve, and there was the lay-by, just where McCready had said it would be. He checked his watch; eight minutes to four. The road was empty.	The Deceiver	Frederick Forsyth
15:53	It was like the clouds lifting away from the sun. Jodie glanced at Reacher. He glanced at the clock. Seven minutes to four. Less than three hours to go.	Tripwire	Lee Child
15:54	She hurriedly fed the donkey and the remaining rabbits, and scrambled into her car at six minutes to four, the dog following her unenthusiastically. 'Your supper will have to wait until we get back,' Thea told her. 'It's too early to have it now.'	Fear in the Cotswolds	Rebecca Tope
15:55	Blomkvist glanced at the clock. It was five minutes to four. 'Do you want to see her? She's still afraid that you won't want to after you found out what she did.'	The Girl With The Dragon Tattoo	Stieg Larsson
15:56	At four minutes to four o'clock, Jacob presses blotting paper over the page on his desk in Warehouse Eik. He drinks another cup of water of which he shall sweat every last drop.	The Thousand Autumns of Jacob de Zoet	David Mitchell
15:57	The clerk had stepped into the hall, and when he came leisurely in at three minutes to four, Caxton discovered that he had written his petition on the back of a blank marriage license.	The Colonel's Dream	Charles W. Chesnutt
15:58	A hum of tolling bells makes itself heard, but not sharply. At three-fifty-eight a waiting interval. Presently a long procession of gentlemen in evening dress comes in sight and approaches until it is near to the square, then falls back against the wall of soldiers at the sidewalk, and the white shirt-fronts show like snowflakes and are very conspicuous where so much warm color is all about.	The Memorable Assassination	Mark Twain
15:59	As it lacked one minute to four when Hedworth Westerling, chief of staff in name as well as power now, alighted from the gray automobile that turned in at the Galland drive, the chauffeur thought well enough of himself to forget the crush of supplies and ambulances that had delayed His Excellency's car for at least ninety seconds in the main street of the town.	The Last Shot	Frederick Palmer
16:00	He played for twenty-two days, just as he said he would. Every day at four o'cock in the afternoon, regardless of how much fighting was going on around him.	The Cellist of Sarajevo	Steven Galloway
16:01	Light is coming in through the curtains. Suddenly the digits on the clock radio look like a year. 1601. I woke up a bit early, don't have to be born for another 400 years.	101 Reykjavik	Hallgrímur Helgason
16:02	I'd just looked up at the clock, to make sure time wasn't getting away from me, when I heard the shot. It was two minutes after four. I didn't know what to do.	Southern Ghost	Carolyn G. Hart
16:03	She read the page carefully and then said, '16.03 - cat goes to the toilet in front garden.'	What Was Lost	Catherine O'Flynn
16:04	At four past four he was aware of a rustling train's rush down the steps, and now was like a man with his neck on the block, awaiting the axe.	The Lord of the Sea	M. P. Shiel
16:05	I was standing at the top of the long flight, overlooking the red brick buildings that walled the snow-filled quad and preparing to catch the trolley back to the asylum, when a tall young man with a rather ugly and bespectacled, but intelligent face, came up and said, 'Could you please tell me the time?' I glanced at my watch. 'Five past four.'	The Bell Jar	Sylvia Plath
16:06	At six minutes after four, Benny's Cadillac pulled up in front of Mr. Botelia's store, and Benny's mother stepped out of the car with Penelope, who was gnawing on the tip of an ice cream cone.	Follow Me	Joanna Scott
